FIPS,Center_X,Center_Y
Lee__IL,0.0,0.0
Whiteside__IL,0.0,0.0
Carroll__IL,0.0,0.0
Ogle__IL,0.0,0.0
DeKalb__IL,0.0,0.0
Kane__IL,0.0,0.0
DuPage__IL,0.0,0.0
Cook__IL,0.0,0.0
Lake__IL,0.0,0.0
McHenry__IL,0.0,0.0
Boone__IL,0.0,0.0
Winnebago__IL,0.0,0.0
Stephenson__IL,0.0,0.0
Jo_Daviess__IL,0.0,0.0
Porter__IN,0.0,0.0
Lake__IN,0.0,0.0
Perry__IN,0.0,0.0
Spencer__IN,0.0,0.0
Warrick__IN,0.0,0.0
Vanderburgh__IN,0.0,0.0
Posey__IN,0.0,0.0
Gibson__IN,0.0,0.0
Pike__IN,0.0,0.0
Dubois__IN,0.0,0.0
Crawford__IN,0.0,0.0
Harrison__IN,0.0,0.0
Floyd__IN,0.0,0.0
Clark__IN,0.0,0.0
Ohio__IN,0.0,0.0
Switzerland__IN,0.0,0.0
Jefferson__IN,0.0,0.0
Scott__IN,0.0,0.0
Washington__IN,0.0,0.0
Orange__IN,0.0,0.0
Martin__IN,0.0,0.0
Daviess__IN,0.0,0.0
Knox__IN,0.0,0.0
Sullivan__IN,0.0,0.0
Greene__IN,0.0,0.0
Lawrence__IN,0.0,0.0
Jackson__IN,0.0,0.0
Jennings__IN,0.0,0.0
Ripley__IN,0.0,0.0
Dearborn__IN,0.0,0.0
Franklin__IN,0.0,0.0
Decatur__IN,0.0,0.0
Bartholomew__IN,0.0,0.0
Brown__IN,0.0,0.0
Monroe__IN,0.0,0.0
Owen__IN,0.0,0.0
Clay__IN,0.0,0.0
Vigo__IN,0.0,0.0
Vermillion__IN,0.0,0.0
Parke__IN,0.0,0.0
Putnam__IN,0.0,0.0
Morgan__IN,0.0,0.0
Johnson__IN,0.0,0.0
Shelby__IN,0.0,0.0
Rush__IN,0.0,0.0
Fayette__IN,0.0,0.0
Union__IN,0.0,0.0
Wayne__IN,0.0,0.0
Henry__IN,0.0,0.0
Hancock__IN,0.0,0.0
Marion__IN,0.0,0.0
Hendricks__IN,0.0,0.0
Boone__IN,0.0,0.0
Hamilton__IN,0.0,0.0
Randolph__IN,0.0,0.0
Delaware__IN,0.0,0.0
Madison__IN,0.0,0.0
Tipton__IN,0.0,0.0
Clinton__IN,0.0,0.0
Montgomery__IN,0.0,0.0
Fountain__IN,0.0,0.0
Jay__IN,0.0,0.0
Blackford__IN,0.0,0.0
Grant__IN,0.0,0.0
